x,y,label
-0.597002,2.67263,1
2.89616,0.759178,-1
1.17825,-1.44541,-1
-1.38304,-0.0954019,1
-2.17686,-0.841795,1
0.300262,2.74258,1
-1.72626,-2.08257,1
1.19279,-1.87785,-1
-0.808882,0.0443869,1
1.92229,1.59208,-1
1.94828,-1.68982,-1
-1.81534,1.25364,1
-2.22292,-0.513581,1
-1.75465,2.35709,1
0.184677,-2.86333,-1
-0.813508,-0.395435,1
-2.63758,0.253767,1
0.714375,-2.22854,-1
-2.10541,-1.64308,1
0.920188,2.18271,1
1.17941,-1.01597,-1
-2.24512,1.73625,1
1.26323,2.71786,1
-0.073547,-0.170535,1
0.810474,-2.20953,-1
0.836984,-2.35552,-1
-1.15889,0.0120486,1
0.528384,2.22453,1
0.0811699,-0.0268906,1
-0.93329,0.981045,1
1.34789,2.37592,1
-0.542943,0.285777,1
1.01163,0.657848,-1
-2.48689,-0.936299,1
-0.661406,-1.98945,1
-1.59481,1.56302,1
-0.777149,-1.34487,1
1.59826,1.98947,-1
-0.166315,2.27102,1
-0.53787,-0.829822,1
1.45359,2.13879,1
-2.39397,0.475907,1
2.76657,0.791942,-1
-1.98037,0.731708,1
2.37813,-0.99051,-1
-0.0996606,1.55461,1
1.37998,-2.59654,-1
2.84494,0.164998,-1
-1.2994,-1.19537,1
-1.59003,2.26968,1
1.27929,-0.579064,-1
2.88454,-0.497725,-1
-0.382301,1.72461,1
1.22113,-1.36892,-1
-0.141613,-2.01938,-1
1.39819,-0.653099,-1
0.747822,-1.33099,-1
1.04671,1.15885,1
0.132151,-0.695255,1
0.812243,0.807537,1
-2.62709,0.955674,1
-0.688508,1.81222,1
0.0582755,-0.885214,-1
2.44845,0.657421,-1
-1.88698,0.450646,1
-1.13988,0.597137,1
1.15233,-2.16141,-1
-2.02092,-1.74698,1
1.67408,-0.301466,-1
0.559826,0.200892,1
-0.813892,2.71234,1
2.80067,0.241575,-1
0.695483,-2.59976,-1
0.916541,0.39986,-1
0.44611,2.48569,1
-1.06152,-1.04486,1
-2.4926,1.38798,1
1.7387,1.84669,-1
-0.641998,-0.789196,1
-2.83285,-0.788072,1
2.10306,1.00099,-1
-0.927913,0.986951,1
0.652727,-2.30305,-1
-1.2799,-0.194534,1
-1.79931,-0.0372392,1
-0.112228,-1.51647,-1
1.13273,-2.2708,-1
-1.19669,0.926911,1
-0.502594,0.998005,1
-0.808377,-0.104242,1
-0.801207,-2.41312,1
0.138011,-0.998758,-1
-0.325707,1.75783,1
0.663209,-1.68516,-1
-2.47694,-0.366301,1
2.02611,1.07871,-1
-1.71306,0.430779,1
0.790752,1.79613,1
-1.47957,-0.786502,1
0.232641,-1.76667,-1
-0.288843,-0.618582,1
0.928588,-1.63328,-1
2.50295,-0.137404,-1
0.161138,0.113471,1
-2.14237,0.546087,1
-1.24137,0.00720587,1
1.70437,1.22488,-1
-1.34533,-0.500846,1
0.146114,-1.69793,-1
0.0210884,1.54531,1
0.829261,-1.01432,-1
0.99287,1.49757,1
-1.78596,-0.444877,1
-0.347435,2.33261,1
-1.04878,-0.766503,1
1.9493,1.0997,-1
1.24732,0.875134,-1
-2.35261,0.132165,1
-0.0577685,-2.33648,-1
2.14408,-2.01198,-1
0.982706,0.612969,-1
-1.01943,-2.72663,1
0.958029,-0.306341,-1
-0.755825,-0.193998,1
-0.66679,-0.969771,1
-1.59246,1.04744,1
-2.04762,1.38552,1
0.152901,-2.79862,-1
1.115,1.17605,-1
1.13077,2.50833,1
1.4041,0.709964,-1
1.01818,0.589057,-1
2.06172,-0.617397,-1
1.26158,0.126559,-1
-1.00848,-2.33134,1
0.646675,-0.605775,-1
1.09699,-2.38584,-1
0.00846978,-2.74072,-1
2.19183,-1.08597,-1
-1.12637,2.77368,1
0.745619,1.38907,1
1.58688,2.38866,1
-2.49722,1.51046,1
-1.29432,0.0925462,1
1.99963,0.306421,-1
1.1536,-0.432774,-1
0.194919,2.75912,1
1.3249,-0.196128,-1
-1.21322,-0.533948,1
2.55047,-0.410809,-1
1.60878,-0.799278,-1
1.5685,0.31232,-1
-1.63728,-0.799281,1
1.50134,1.78951,-1
-1.81325,-1.08342,1
0.769019,-2.03659,-1
-2.04151,0.343569,1
-2.83224,-0.756315,1
1.61507,-1.13291,-1
1.04018,-1.01168,-1
-2.64625,-0.195712,1
-0.403488,-1.06642,1
2.29332,-0.136064,-1
-2.44277,-1.19613,1
-1.22152,1.04611,1
-1.1698,0.41707,1
2.14803,0.99232,-1
-0.480418,-1.50714,1
1.00199,-2.5066,-1
-0.543069,-1.01127,1
2.33592,-1.61288,-1
1.62392,1.76428,-1
-1.97986,-1.54845,1
-0.022485,2.94509,1
2.03106,-0.133052,-1
-2.82092,-0.0141351,1
-1.67306,1.04806,1
-1.9586,-1.11487,1
-0.120082,-0.782528,1
2.0759,-1.67189,-1
-0.636549,0.739463,1
1.52331,-0.227797,-1
1.23818,1.15203,-1
1.32625,-1.92689,-1
1.83661,-0.93599,-1
2.054,-1.43211,-1
0.981951,0.703339,-1
-1.03728,2.31897,1
1.68056,-0.138308,-1
-0.352021,1.99529,1
1.70222,-2.05389,-1
1.00802,1.90601,1
-1.14673,-2.7005,1
0.211625,-1.0301,-1
1.96847,-0.414525,-1
-1.15786,2.40236,1
1.2324,-1.94221,-1
-1.24396,-0.321806,1
0.599752,-0.184371,-1
-2.21022,-0.736136,1
